model,hyperparameters,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,5181,1037,1036,0.4,5.076233418,4.343629344,5.598455598,0.459202263,5.076233418,4.343629344,5.598455598,0.459202263,2,2,0,0.5,0.064401565,0.0,0.238752765,0.046056869,1.240928179,0.977141448,1.341132615,0.068985015,0.0,0,0,0,0.0,0,0,0.0,2.0,2,2,0.0,2.0,2,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.185842017,0,0,0.0
Lasso,"{'alpha': 0.00447213595499958, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,6480,1296,1296,0.0,5.092592593,4.62962963,5.401234568,0.276057775,5.092592593,4.62962963,5.401234568,0.276057775,4,3,1,1.0,0.107787669,0.044832855,0.233985836,0.001297641,0.864121405,0.530098401,1.135282938,0.002673121,1.0,1,1,0,3.4,1,4,1.2,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.271559095,0,0,0.500402424
Lasso,"{'alpha': 0.0003270242804522918, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,34991,6999,6998,0.4,5.029868514,4.758502429,5.401543298,0.225840652,5.029868514,4.758502429,5.401543298,0.225840652,5,4,1,0.166666667,0.053195418,0.000523783,0.213882873,0.00027216,1.126516414,0.88913521,1.286374763,6.48e-05,1.0,1,1,0,3.4,1,5,1.959591794,5.0,5,5,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.085281461,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.8444444444444446, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,38880,7776,7776,0.0,4.974279835,4.848251029,5.182613169,0.117414735,4.974279835,4.848251029,5.182613169,0.117414735,5,4,1,0.166666667,0.11580385,0.046530625,0.325855317,0.000158176,0.818077864,0.312243442,1.181641786,0.000171556,1.0,1,1,0,3.4,1,5,1.959591794,5.0,5,5,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.076451761,0,0,0.673011667
Lasso,"{'alpha': 2.39136021537497e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,5831,1167,1166,0.4,5.042161441,4.198800343,6.003430532,0.578663155,5.042161441,4.198800343,6.003430532,0.578663155,4,3,1,1.0,0.070276743,0.00019116,0.256598511,0.001518527,1.124001895,0.884342435,1.297494209,0.000342203,1.0,1,1,0,2.8,1,4,1.469693846,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.281872987,0,0,0.673011667
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,1311,263,262,0.4,5.187356689,3.816793893,6.870229008,1.123819598,5.187356689,3.816793893,6.870229008,1.123819598,4,4,0,6.0,0.09335367,0.0047775,0.278987711,0.030894165,1.004753839,0.600661317,1.443033465,0.057019378,0.0,0,0,0,3.0,1,4,1.264911064,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.603896891,0,0,0.673011667
Lasso,"{'alpha': 0.0018701222535385973, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,1296,260,259,0.4,5.247104247,3.474903475,7.335907336,1.283596526,5.247104247,3.474903475,7.335907336,1.283596526,3,3,0,1.0,0.250462105,0.039321377,0.426668437,0.035819528,1.245943178,0.893653904,1.468424329,0.10248248,0.0,0,0,0,0.0,0,0,0.0,3.0,3,3,0.0,3.0,3,3,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.291847627,0,0,0.0
Lasso,"{'alpha': 2.39136021537497e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,27216,5444,5443,0.4,4.982366177,4.904481999,5.217710821,0.118273134,4.982366177,4.904481999,5.217710821,0.118273134,5,4,1,0.166666667,0.068032724,0.007596932,0.207799059,0.000192454,1.0872034,0.771053591,1.276170705,0.000101896,1.0,1,1,0,1.8,1,5,1.6,5.0,5,5,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.084099552,0,0,0.500402424
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,38880,7776,7776,0.0,5.066872428,4.951131687,5.169753086,0.075863586,5.066872428,4.951131687,5.169753086,0.075863586,5,4,1,0.166666667,1.315137423,0.323525183,4.406975984,6.56e-05,4.772359519,0.164613005,22.67598478,0.000330146,1.0,1,1,0,3.4,1,5,1.959591794,5.0,5,5,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.049677833,0,0,0.673011667
Lasso,"{'alpha': 0.00447213595499958, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,11661,2333,2332,0.4,5.033875214,4.716981132,5.403087479,0.219696476,5.033875214,4.716981132,5.403087479,0.219696476,1,0,1,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0.0,0,0,0.0,1.0,1,1,0.0,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.097100791,0,0,0.0
Lasso,"{'alpha': 0.34973572431802813, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",5,7776,1556,1555,0.4,5.015209251,3.922829582,6.748071979,0.96091877,5.015209251,3.922829582,6.748071979,0.96091877,4,3,1,0.5,1.967404281,0.109583091,4.699588754,0.000492689,10.5140508,1.156220957,27.25485118,0.003278379,1.0,1,1,0,2.2,1,4,1.469693846,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.124813022,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 1.0, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,1186,238,237,0.4,5.058681701,2.953586498,5.907172996,1.098556947,5.058681701,2.953586498,5.907172996,1.098556947,5,5,0,6.0,0.666101871,1.13e-06,4.354268975,0.726561121,3.163942891,0.360379155,27.54417363,4.4003817,0.0,0,0,0,3.8,3,4,0.4,4.4,4,5,0.489897949,4.6,4,5,0.489897949,3,3,3,0,1,1,1,0,0,0,0,0,0.411229098,0,0,0.673011667
Lasso,"{'alpha': 0.00447213595499958, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",5,12960,2592,2592,0.0,4.984567901,4.282407407,5.439814815,0.435393086,4.984567901,4.282407407,5.439814815,0.435393086,6,5,1,0.5,1.42402263,0.172386298,4.473290762,0.724059699,5.121205111,0.111975531,23.39491316,3.650407997,1.0,1,1,0,5.0,3,6,1.264911064,5.4,5,6,0.489897949,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.113562891,0,0,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.9222222222222223, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,7776,1556,1555,0.4,4.989849478,3.920308483,5.78778135,0.683309791,4.989849478,3.920308483,5.78778135,0.683309791,2,1,1,0.166666667,0.095751301,0.005289071,0.209949879,0.0,1.237832835,1.124485808,1.37155633,0.0,1.0,1,1,0,1.0,1,1,0.0,1.0,1,1,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.091154394,0,0,0.0
XGBRegressor,"{'objective': 'reg:squarederror', 'base_score': '3.3889803E-1', 'booster': 'gbtree', 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': ['int'], 'gamma': 3.9963209507789, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.1, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': 10, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.1, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",5,19440,3888,3888,0.0,5.072016461,4.552469136,5.787037037,0.417396353,5.072016461,4.552469136,5.787037037,0.417396353,2,1,1,0.166666667,0.128141015,0.022518396,0.40561721,0.0,1.149627419,0.746149657,1.295203827,0.0,1.0,1,1,0,1.2,1,2,0.4,2.0,2,2,0.0,2.0,2,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.075807308,0,0,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 1.0, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,9071,1815,1814,0.4,5.071112043,4.740904079,5.567805954,0.304050405,5.071112043,4.740904079,5.567805954,0.304050405,4,3,1,0.5,0.058312286,0.008334694,0.196076332,0.000499877,1.115523508,0.835215633,1.292742357,0.00018297,1.0,1,1,0,2.2,1,4,1.469693846,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.177826344,0,0,0.673011667
XGBRegressor,"{'objective': 'reg:squarederror', 'base_score': '-1.553941E-1', 'booster': 'gbtree', 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': ['int', 'float'], 'gamma': 3.9963209507789, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.1, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': 0.8, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.1, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",5,2591,519,518,0.4,5.055906443,4.633204633,5.405405405,0.282657763,5.055906443,4.633204633,5.405405405,0.282657763,2,2,0,0.5,0.252019589,0.021532938,0.433043312,0.016959489,1.192384607,0.893952691,1.455032904,0.114400425,0.0,0,0,0,0.0,0,0,0.0,2.0,2,2,0.0,2.0,2,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.190569947,0,0,0.0
Lasso,"{'alpha': 0.01069448800053393, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,11661,2333,2332,0.4,4.965330749,4.243463352,5.574614065,0.534294732,4.965330749,4.243463352,5.574614065,0.534294732,4,3,1,0.5,0.057520326,0.002896681,0.212494859,0.00072104,1.128778159,0.888972998,1.320216425,0.000254353,1.0,1,1,0,2.8,1,4,1.469693846,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.201243948,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.45555555555555555, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,15551,3111,3110,0.4,5.00928662,4.59807074,5.593056895,0.341734734,5.00928662,4.59807074,5.593056895,0.341734734,2,1,1,0.166666667,0.084907345,0.040799599,0.223430558,0.0,1.215705681,0.974380391,1.296625151,0.0,1.0,1,1,0,0.0,0,0,0.0,2.0,2,2,0.0,2.0,2,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.079639067,0,0,0.0
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.45555555555555555, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,11661,2333,2332,0.4,4.973837233,4.674099485,5.360205832,0.265589224,4.973837233,4.674099485,5.360205832,0.265589224,4,3,1,0.5,0.054731195,0.0032213,0.215901893,0.000658026,1.122436782,0.88084161,1.288697599,0.000237793,1.0,1,1,0,2.8,1,4,1.469693846,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.176927397,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.3, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,5181,1037,1036,0.4,4.82539848,4.43587271,5.308880309,0.306325231,4.82539848,4.43587271,5.308880309,0.306325231,2,2,0,1.0,0.032270791,0.000847522,0.064562582,0.002994662,1.239771888,1.082762978,1.304522228,0.048352985,0.0,0,0,0,1.8,1,2,0.4,2.0,2,2,0.0,2.0,2,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.281896715,0,0,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.45555555555555555, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,27216,5444,5443,0.4,4.963987207,4.372588646,5.438177476,0.380097243,4.963987207,4.372588646,5.438177476,0.380097243,4,3,1,0.166666667,0.054275042,0.004537455,0.177228313,0.000168333,1.07720854,0.791932254,1.249379692,0.00010905,1.0,1,1,0,1.2,1,2,0.4,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.084335241,0,0,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.5333333333333333, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,10366,2074,2073,0.4,5.074291727,4.679208876,5.499276411,0.272045932,5.074291727,4.679208876,5.499276411,0.272045932,2,1,1,0.5,0.051878944,0.021989963,0.100998673,0.0,1.24680365,1.156090256,1.296243909,0.0,1.0,1,1,0,2.0,2,2,0.0,2.0,2,2,0.0,2.0,2,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.200832788,0,0,0.0
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.8444444444444446, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,14256,2852,2851,0.4,4.910201042,4.59487899,5.084151473,0.17711774,4.910201042,4.59487899,5.084151473,0.17711774,11,11,0,0.5,1.15636777,1.41e-05,4.26767422,0.455278595,6.264340002,0.720140213,24.61328871,4.163572709,0.0,0,0,0,8.8,6,11,1.939071943,10.0,10,10,0.0,11.0,11,11,0.0,4,4,4,0,2,2,2,0,6,6,6,0,0.011845162,2852,407,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.5333333333333333, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,11661,2333,2332,0.4,5.093883787,4.159519726,5.703259005,0.50964237,5.093883787,4.159519726,5.703259005,0.50964237,1,1,0,0.5,0.423462894,5.04e-05,1.420970476,0.0,1.223451359,0.813297712,1.707496312,0.0,0.0,0,0,0,0.4,0,1,0.489897949,0.0,0,0,0.0,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.018859037,0,0,0.673011667
Lasso,"{'alpha': 2.39136021537497e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,11661,2333,2332,0.4,5.033886243,4.845626072,5.317324185,0.198865629,5.033886243,4.845626072,5.317324185,0.198865629,8,8,0,0.166666667,0.997018626,3.35e-06,3.667073402,0.686034627,6.848223436,1.199576291,18.22730124,1.55538321,0.0,0,0,0,6.4,5,7,0.8,7.4,7,8,0.489897949,8.0,8,8,0.0,3,3,3,0,1,1,1,0,4,4,4,0,0.01118693,2333,2332,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.6888888888888889, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,19440,3888,3888,0.0,5.020576132,4.732510288,5.221193416,0.171690527,5.020576132,4.732510288,5.221193416,0.171690527,2,2,0,0.166666667,1.560627591,2.19e-05,4.418840586,0.869869844,6.487146218,0.857235672,23.26990132,5.045082199,0.0,0,0,0,0.8,0,2,0.748331477,1.6,1,2,0.489897949,1.8,1,2,0.4,1,1,1,0,0,0,0,0,0,0,0,0,0.017971143,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.8444444444444446, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,6480,1296,1296,0.0,4.938271605,4.62962963,5.24691358,0.212716802,4.938271605,4.62962963,5.24691358,0.212716802,4,4,0,1.0,2.030193351,3.07e-05,4.595967736,0.847028773,10.45781715,1.086740051,24.75608642,4.056494472,0.0,0,0,0,2.8,1,4,0.979795897,3.2,3,4,0.4,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.020088278,0,0,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.8444444444444446, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,3240,648,648,0.0,5.092592593,3.703703704,6.018518519,0.833904697,5.092592593,3.703703704,6.018518519,0.833904697,2,2,0,1.0,1.482100822,0.002520968,4.583070384,0.994607465,6.691038993,1.178681164,28.54466046,6.312173,0.0,0,0,0,0.6,0,2,0.8,1.4,1,2,0.489897949,1.6,1,2,0.489897949,1,1,1,0,0,0,0,0,0,0,0,0,0.024816514,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.37777777777777777, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,1311,263,262,0.4,5.11044031,3.435114504,6.488549618,0.982605973,5.11044031,3.435114504,6.488549618,0.982605973,5,4,1,6.0,1.210831914,4.83e-05,3.103564009,0.504422576,5.11637621,0.339877401,17.72478841,2.997361661,1.0,1,1,0,1.2,0,3,0.979795897,4.0,3,5,0.894427191,4.2,4,5,0.4,3,3,3,0,1,1,1,0,0,0,0,0,0.032298911,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 1.0, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,7881,1577,1576,0.4,5.151616351,4.758883249,5.520304569,0.284633018,5.151616351,4.758883249,5.520304569,0.284633018,4,3,1,1.0,1.27505448,0.005296417,3.684086711,0.746279862,5.315477699,0.447809551,19.55192634,3.944121796,1.189312977,1,2,0,1.2,0,3,1.166190379,3.0,3,3,0.0,4.0,4,4,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.017714355,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 1.0, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,6480,1296,1296,0.0,5.0,4.012345679,6.172839506,0.820082115,5.0,4.012345679,6.172839506,0.820082115,5,5,0,0.5,1.983606703,0.000201886,4.282868067,0.656547936,8.187439065,1.166326609,21.16841717,3.014070111,0.0,0,0,0,2.2,0,5,1.939071943,4.2,4,5,0.4,4.6,4,5,0.489897949,4,4,4,0,2,2,2,0,0,0,0,0,0.012158727,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.45555555555555555, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,7126,1426,1425,0.4,4.897527128,4.210526316,5.403508772,0.442132516,4.897527128,4.210526316,5.403508772,0.442132516,7,7,0,1.0,1.346208148,0.000110246,4.350722207,0.518469045,7.644980965,0.11354448,23.74317683,2.905792182,0.0,0,0,0,5.4,3,6,1.2,6.0,6,6,0.0,7.0,7,7,0.0,3,3,3,0,1,1,1,0,2,2,2,0,0.016355152,1426,1426,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.7666666666666666, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,47301,9461,9460,0.4,4.982978749,4.820295983,5.179704017,0.136524782,4.982978749,4.820295983,5.179704017,0.136524782,6,6,0,0.166666667,1.489583239,6.77e-06,4.602543703,0.777839229,8.552015778,0.524803589,27.43148111,4.513234061,0.0,0,0,0,3.8,2,5,1.469693846,5.0,5,5,0.0,6.0,6,6,0.0,3,3,3,0,1,1,1,0,2,2,2,0,0.010274212,9461,2365,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.5333333333333333, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,38880,7776,7776,0.0,5.005144033,4.7968107,5.298353909,0.168540689,5.005144033,4.7968107,5.298353909,0.168540689,4,4,0,0.166666667,2.319429646,0.003430935,4.65417929,0.618966685,12.71725463,0.233017824,27.80114775,3.424982385,0.0,0,0,0,3.4,3,4,0.489897949,3.0,3,3,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.01404384,0,0,0.0
