id,data_type,daily_seasonality,weekly_seasonality,noise (high 30% - low 10%),trend,cyclic_period (3 months),data_size,percentage_outliers,percentage_missing,freq
396.csv,multiplicative,exist,no,small,exist,exist,210,0.05,0.05,6H
397.csv,multiplicative,exist,no,small,exist,exist,180,0.05,0.05,1D
398.csv,multiplicative,exist,no,small,exist,exist,300,0.05,0.05,8H
399.csv,multiplicative,exist,no,small,exist,exist,365,0.05,0.05,10T
400.csv,multiplicative,exist,no,small,exist,exist,300,0.05,0.05,6H
401.csv,additive,exist,no,small,exist,exist,365,0.05,0.05,30T
402.csv,additive,exist,no,small,exist,exist,365,0.05,0.05,8H
403.csv,additive,exist,no,small,exist,exist,60,0.05,0.05,1D
404.csv,additive,exist,no,small,exist,exist,365,0.05,0.05,1H
405.csv,additive,exist,no,small,exist,exist,270,0.05,0.05,1D
406.csv,additive,exist,no,small,exist,exist,300,0.05,0.05,1H
407.csv,additive,exist,no,small,exist,exist,60,0.05,0.05,10T
408.csv,additive,exist,no,small,exist,exist,330,0.05,0.05,6H
409.csv,additive,exist,no,small,exist,exist,60,0.05,0.05,30T
410.csv,additive,exist,no,small,exist,exist,60,0.05,0.05,30T
411.csv,additive,exist,no,small,exist,exist,210,0.05,0.05,8H
412.csv,additive,exist,no,small,exist,exist,365,0.05,0.05,1D
413.csv,additive,exist,no,small,exist,exist,365,0.05,0.05,1H
414.csv,additive,exist,no,small,exist,exist,330,0.05,0.05,8H
415.csv,additive,exist,no,small,exist,exist,90,0.05,0.05,10T
416.csv,additive,exist,no,small,exist,exist,90,0.05,0.05,30T
417.csv,multiplicative,exist,no,small,exist,exist,365,0.05,0.05,1D
418.csv,multiplicative,exist,no,small,exist,exist,150,0.05,0.05,10T
419.csv,multiplicative,exist,no,small,exist,exist,300,0.05,0.05,1D
420.csv,multiplicative,exist,no,small,exist,exist,330,0.05,0.05,10T
421.csv,multiplicative,exist,no,small,exist,exist,270,0.05,0.05,1D
422.csv,multiplicative,exist,no,small,exist,exist,300,0.05,0.05,6H
423.csv,multiplicative,exist,no,small,exist,exist,60,0.05,0.05,8H
424.csv,multiplicative,exist,no,small,exist,exist,270,0.05,0.05,30T
425.csv,multiplicative,exist,no,small,exist,exist,60,0.05,0.05,10T
426.csv,multiplicative,exist,no,small,exist,exist,365,0.05,0.05,1D
427.csv,multiplicative,exist,no,small,exist,exist,60,0.05,0.05,6H
428.csv,multiplicative,exist,no,small,exist,exist,180,0.05,0.05,1H
429.csv,multiplicative,exist,no,small,exist,exist,330,0.05,0.05,1D
430.csv,multiplicative,exist,no,small,exist,exist,150,0.05,0.05,1D
431.csv,multiplicative,exist,no,small,exist,exist,270,0.05,0.05,6H
432.csv,multiplicative,exist,no,small,exist,exist,210,0.05,0.05,10T
433.csv,additive,exist,no,small,exist,exist,365,0.05,0.05,1D
434.csv,additive,exist,no,small,exist,exist,120,0.05,0.05,30T
435.csv,additive,exist,no,small,exist,exist,210,0.05,0.05,10T
436.csv,additive,exist,no,small,exist,exist,270,0.05,0.05,8H
437.csv,additive,exist,no,small,exist,exist,300,0.05,0.05,30T
438.csv,additive,exist,no,small,exist,exist,150,0.05,0.05,10T
439.csv,additive,exist,no,small,exist,exist,240,0.05,0.05,1D
440.csv,additive,exist,no,small,exist,exist,210,0.05,0.05,30T
441.csv,additive,exist,no,small,exist,exist,120,0.05,0.05,1D
442.csv,additive,exist,no,small,exist,exist,60,0.05,0.05,1H
443.csv,additive,exist,no,small,exist,exist,330,0.05,0.05,1D
444.csv,additive,exist,no,small,exist,exist,270,0.05,0.05,10T
445.csv,additive,exist,no,small,exist,exist,90,0.05,0.05,10T
446.csv,additive,exist,no,small,exist,exist,60,0.05,0.05,8H
447.csv,additive,exist,no,small,exist,exist,270,0.05,0.05,30T
448.csv,additive,exist,no,small,exist,exist,150,0.05,0.05,8H
449.csv,multiplicative,exist,no,small,no,exist,60,0.05,0.05,8H
450.csv,multiplicative,exist,no,small,no,exist,60,0.05,0.05,30T
451.csv,multiplicative,exist,no,small,no,exist,240,0.05,0.05,8H
452.csv,multiplicative,exist,no,small,no,exist,180,0.05,0.05,10T
453.csv,multiplicative,exist,no,small,no,exist,150,0.05,0.05,10T
454.csv,multiplicative,exist,no,small,no,exist,90,0.05,0.05,8H
455.csv,multiplicative,exist,no,small,no,exist,120,0.05,0.05,6H
456.csv,multiplicative,exist,no,small,no,exist,90,0.05,0.05,6H
457.csv,multiplicative,exist,no,small,no,exist,210,0.05,0.05,6H
458.csv,multiplicative,exist,no,small,no,exist,180,0.05,0.05,30T
459.csv,multiplicative,exist,no,small,no,exist,365,0.05,0.05,6H
460.csv,multiplicative,exist,no,small,no,exist,180,0.05,0.05,10T
461.csv,multiplicative,exist,no,small,no,exist,330,0.05,0.05,6H
462.csv,multiplicative,exist,no,small,no,exist,300,0.05,0.05,6H
463.csv,multiplicative,exist,no,small,no,exist,90,0.05,0.05,1D
464.csv,multiplicative,exist,no,small,no,exist,300,0.05,0.05,1D
465.csv,additive,exist,no,small,no,exist,120,0.05,0.05,30T
466.csv,additive,exist,no,small,no,exist,300,0.05,0.05,8H
467.csv,additive,exist,no,small,no,exist,120,0.05,0.05,8H
468.csv,additive,exist,no,small,no,exist,60,0.05,0.05,1D
469.csv,additive,exist,no,small,no,exist,300,0.05,0.05,1D
470.csv,additive,exist,no,small,no,exist,120,0.05,0.05,1D
471.csv,additive,exist,no,small,no,exist,300,0.05,0.05,1H
472.csv,additive,exist,no,small,no,exist,330,0.05,0.05,1H
473.csv,additive,exist,no,small,no,exist,120,0.05,0.05,6H
474.csv,additive,exist,no,small,no,exist,180,0.05,0.05,30T
475.csv,additive,exist,no,small,no,exist,270,0.05,0.05,10T
476.csv,additive,exist,no,small,no,exist,330,0.05,0.05,10T
477.csv,additive,exist,no,small,no,exist,365,0.05,0.05,1H
478.csv,additive,exist,no,small,no,exist,120,0.05,0.05,1H
479.csv,additive,exist,no,small,no,exist,210,0.05,0.05,8H
480.csv,additive,exist,no,small,no,exist,90,0.05,0.05,10T
481.csv,multiplicative,exist,no,small,no,exist,60,0.05,0.05,1D
482.csv,multiplicative,exist,no,small,no,exist,180,0.05,0.05,1D
483.csv,multiplicative,exist,no,small,no,exist,365,0.05,0.05,30T
484.csv,multiplicative,exist,no,small,no,exist,60,0.05,0.05,10T
485.csv,multiplicative,exist,no,small,no,exist,300,0.05,0.05,10T
486.csv,multiplicative,exist,no,small,no,exist,270,0.05,0.05,30T
487.csv,multiplicative,exist,no,small,no,exist,120,0.05,0.05,1H
488.csv,multiplicative,exist,no,small,no,exist,120,0.05,0.05,1H
489.csv,multiplicative,exist,no,small,no,exist,90,0.05,0.05,1H
490.csv,multiplicative,exist,no,small,no,exist,210,0.05,0.05,1D
491.csv,multiplicative,exist,no,small,no,exist,270,0.05,0.05,1D
492.csv,multiplicative,exist,no,small,no,exist,300,0.05,0.05,8H
493.csv,multiplicative,exist,no,small,no,exist,150,0.05,0.05,6H
494.csv,multiplicative,exist,no,small,no,exist,240,0.05,0.05,8H
495.csv,multiplicative,exist,no,small,no,exist,270,0.05,0.05,30T
496.csv,multiplicative,exist,no,small,no,exist,60,0.05,0.05,8H
497.csv,additive,exist,no,small,no,exist,90,0.05,0.05,6H
498.csv,additive,exist,no,small,no,exist,240,0.05,0.05,30T
499.csv,additive,exist,no,small,no,exist,240,0.05,0.05,6H
500.csv,additive,exist,no,small,no,exist,120,0.05,0.05,10T
501.csv,additive,exist,no,small,no,exist,240,0.05,0.05,8H
502.csv,additive,exist,no,small,no,exist,270,0.05,0.05,1D
503.csv,additive,exist,no,small,no,exist,60,0.05,0.05,1D
504.csv,additive,exist,no,small,no,exist,180,0.05,0.05,1H
505.csv,additive,exist,no,small,no,exist,120,0.05,0.05,6H
506.csv,additive,exist,no,small,no,exist,90,0.05,0.05,8H
507.csv,additive,exist,no,small,no,exist,60,0.05,0.05,10T
508.csv,additive,exist,no,small,no,exist,240,0.05,0.05,6H
509.csv,additive,exist,no,small,no,exist,270,0.05,0.05,6H
510.csv,additive,exist,no,small,no,exist,330,0.05,0.05,6H
511.csv,additive,exist,no,small,no,exist,270,0.05,0.05,8H
512.csv,additive,exist,no,small,no,exist,150,0.05,0.05,30T
